,channel,control,data,name,note,pitch,program,tempo,text,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,octave,note_value,note_value_nmd,note_name,angle
28,9.0,,,,42.0,,,,,192,note_on,,112.0,42.0,112.0,192,0.5,3.0,6.0,6,F#,180
30,9.0,,,,42.0,,,,,52,note_on,,112.0,42.0,112.0,288,0.75,3.0,6.0,6,F#,180
32,9.0,,,,42.0,,,,,52,note_on,,112.0,42.0,112.0,384,1.0,3.0,6.0,6,F#,180
34,9.0,,,,42.0,,,,,52,note_on,,112.0,42.0,112.0,480,1.25,3.0,6.0,6,F#,180
36,9.0,,,,42.0,,,,,52,note_on,,112.0,42.0,112.0,576,1.5,3.0,6.0,6,F#,180
38,9.0,,,,42.0,,,,,52,note_on,,112.0,42.0,112.0,672,1.75,3.0,6.0,6,F#,180
40,9.0,,,,42.0,,,,,3124,note_on,,88.0,42.0,88.0,3840,10.0,3.0,6.0,6,F#,180
41,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,3840,10.0,2.0,11.0,5,F,330
44,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,3936,10.25,3.0,6.0,6,F#,180
46,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,4032,10.5,3.0,6.0,6,F#,180
47,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,4032,10.5,4.0,3.0,9,A,90
48,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,4032,10.5,3.0,4.0,4,E,120
52,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,4128,10.75,3.0,6.0,6,F#,180
54,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,4224,11.0,3.0,6.0,6,F#,180
55,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,4224,11.0,2.0,11.0,5,F,330
58,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,4320,11.25,2.0,11.0,5,F,330
59,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,4320,11.25,3.0,6.0,6,F#,180
62,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,4416,11.5,3.0,6.0,6,F#,180
63,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,4416,11.5,4.0,3.0,9,A,90
64,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,4416,11.5,3.0,4.0,4,E,120
68,9.0,,,,51.0,,,,,52,note_on,,112.0,51.0,112.0,4512,11.75,4.0,3.0,9,A,90
69,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,4512,11.75,3.0,6.0,6,F#,180
72,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,4560,11.875,2.0,11.0,5,F,330
74,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,4608,12.0,2.0,11.0,5,F,330
75,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,4608,12.0,3.0,6.0,6,F#,180
78,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,4704,12.25,3.0,6.0,6,F#,180
80,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,4800,12.5,3.0,6.0,6,F#,180
81,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,4800,12.5,4.0,3.0,9,A,90
82,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,4800,12.5,3.0,4.0,4,E,120
86,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,4896,12.75,3.0,6.0,6,F#,180
88,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,4992,13.0,3.0,6.0,6,F#,180
89,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,4992,13.0,2.0,11.0,5,F,330
92,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,5088,13.25,2.0,11.0,5,F,330
93,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,5088,13.25,3.0,6.0,6,F#,180
96,9.0,,,,51.0,,,,,52,note_on,,112.0,51.0,112.0,5184,13.5,4.0,3.0,9,A,90
97,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,5184,13.5,3.0,6.0,6,F#,180
98,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,5184,13.5,3.0,4.0,4,E,120
102,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,5280,13.75,3.0,6.0,6,F#,180
103,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,5280,13.75,4.0,3.0,9,A,90
106,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,5328,13.875,2.0,11.0,5,F,330
108,9.0,,,,42.0,,,,,4,note_on,,88.0,42.0,88.0,5376,14.0,3.0,6.0,6,F#,180
109,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,5376,14.0,2.0,11.0,5,F,330
112,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,5472,14.25,3.0,6.0,6,F#,180
114,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,5568,14.5,3.0,6.0,6,F#,180
115,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,5568,14.5,3.0,4.0,4,E,120
116,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,5568,14.5,4.0,3.0,9,A,90
120,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,5664,14.75,3.0,6.0,6,F#,180
122,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,5760,15.0,3.0,6.0,6,F#,180
123,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,5760,15.0,2.0,11.0,5,F,330
126,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,5856,15.25,3.0,6.0,6,F#,180
127,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,5856,15.25,2.0,11.0,5,F,330
130,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,5952,15.5,3.0,6.0,6,F#,180
131,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,5952,15.5,3.0,4.0,4,E,120
132,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,5952,15.5,4.0,3.0,9,A,90
136,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,6048,15.75,3.0,6.0,6,F#,180
137,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,6048,15.75,4.0,3.0,9,A,90
140,9.0,,,,40.0,,,,,436,note_on,,112.0,40.0,112.0,6528,17.0,3.0,4.0,4,E,120
142,9.0,,,,48.0,,,,,4,note_on,,112.0,48.0,112.0,6576,17.125,4.0,0.0,0,C,0
144,9.0,,,,40.0,,,,,52,note_on,,112.0,40.0,112.0,6672,17.375,3.0,4.0,4,E,120
146,9.0,,,,40.0,,,,,4,note_on,,112.0,40.0,112.0,6720,17.5,3.0,4.0,4,E,120
148,9.0,,,,36.0,,,,,52,note_on,,112.0,36.0,112.0,6816,17.75,3.0,0.0,0,C,0
150,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,6912,18.0,3.0,6.0,6,F#,180
151,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,6912,18.0,2.0,11.0,5,F,330
